t,repeatability,bigint_repeatability,contributionS,thisS
311,1685159000,1685159000 (e0),51180516721152000 (e0),4702638178423605919 (e0)
312,1680914269,1680914269 (e0),51544054376153893 (e0),4754182232799759812 (e0)
313,1676676672,1676676672 (e0),51908474529888768 (e0),4806090707329648580 (e0)
314,1672446203,1672446203 (e0),52273769465192625 (e0),4858364476794841205 (e0)
315,1668222856,1668222856 (e0),52639931436760576 (e0),4911004408231601781 (e0)
316,1664006625,1664006625 (e0),53006952671461125 (e0),4964011360903062906 (e0)
317,1659797504,1659797504 (e0),53374825368649728 (e0),5017386186271712634 (e0)
318,1655595487,1655595487 (e0),53743541700481633 (e0),5071129727972194267 (e0)
319,1651400568,1651400568 (e0),54113093812224000 (e0),5125242821784418267 (e0)
320,1647212741,1647212741 (e0),54483473822567301 (e0),5179726295606985568 (e0)
321,1643032000,1643032000 (e0),54854673823936000 (e0),5234580969430921568 (e0)
322,1638858339,1638858339 (e0),55226685882798513 (e0),5289807655313720081 (e0)
323,1634691752,1634691752 (e0),55599502039976448 (e0),5345407157353696529 (e0)
324,1630532233,1630532233 (e0),55973114310953125 (e0),5401380271664649654 (e0)
325,1626379776,1626379776 (e0),56347514686181376 (e0),5457727786350831030 (e0)
326,1622234375,1622234375 (e0),56722695131390625 (e0),5514450481482221655 (e0)
327,1618096024,1618096024 (e0),57098647587893248 (e0),5571549129070114903 (e0)
328,1613964717,1613964717 (e0),57475363972890213 (e0),5629024493043005116 (e0)
329,1609840448,1609840448 (e0),57852836179776000 (e0),5686877329222781116 (e0)
330,1605723211,1605723211 (e0),58231056078442801 (e0),5745108385301223917 (e0)
331,1601613000,1601613000 (e0),58610015515584000 (e0),5803718400816807917 (e0)
332,1597509809,1597509809 (e0),58989706314996933 (e0),5862708107131804850 (e0)
333,1593413632,1593413632 (e0),59370120277884928 (e0),5922078227409689778 (e0)
334,1589324463,1589324463 (e0),59751249183158625 (e0),5981829476592848403 (e0)
335,1585242296,1585242296 (e0),60133084787736576 (e0),6041962561380584979 (e0)
336,1581167125,1581167125 (e0),60515618826845125 (e0),6102478180207430104 (e0)
337,1577098944,1577098944 (e0),60898843014317568 (e0),6163377023221747672 (e0)
338,1573037747,1573037747 (e0),61282749042892593 (e0),6224659772264640265 (e0)
339,1568983528,1568983528 (e0),61667328584512000 (e0),6286327100849152265 (e0)
340,1564936281,1564936281 (e0),62052573290617701 (e0),6348379674139769966 (e0)
341,1560896000,1560896000 (e0),62438474792448000 (e0),6410818148932217966 (e0)
342,1556862679,1556862679 (e0),62825024701333153 (e0),6473643173633551119 (e0)
343,1552836312,1552836312 (e0),63212214608990208 (e0),6536855388242541327 (e0)
344,1548816893,1548816893 (e0),63600036087817125 (e0),6600455424330358452 (e0)
345,1544804416,1544804416 (e0),63988480691186176 (e0),6664443905021544628 (e0)
346,1540798875,1540798875 (e0),64377539953736625 (e0),6728821444975281253 (e0)
347,1536800264,1536800264 (e0),64767205391666688 (e0),6793588650366947941 (e0)
348,1532808577,1532808577 (e0),65157468503024773 (e0),6858746118869972714 (e0)
349,1528823808,1528823808 (e0),65548320768000000 (e0),6924294439637972714 (e0)
350,1524845951,1524845951 (e0),65939753649212001 (e0),6990234193287184715 (e0)
351,1520875000,1520875000 (e0),66331758592000000 (e0),7056565951879184715 (e0)
352,1516910949,1516910949 (e0),66724327024711173 (e0),7123290278903895888 (e0)
353,1512953792,1512953792 (e0),67117450358988288 (e0),7190407729262884176 (e0)
